weathersit_,temp_,hum_,casual_mean,casual_sum,casual_max,registered_mean,registered_sum,registered_max
1,0.0591304,0.4,93.0,93,93,888.0,888,888
1,0.0965217,0.436522,150.0,150,150,836.0,836,836
1,0.0973913,0.491739,86.0,86,86,1330.0,1330,1330
1,0.1275,0.464583,73.0,73,73,1456.0,1456,1456
1,0.138333,0.434167,54.0,54,54,768.0,768,768
1,0.144348,0.437391,47.0,47,47,1491.0,1491,1491
1,0.15,0.44125,89.0,89,89,2147.0,2147,2147
1,0.150833,0.482917,41.0,41,41,1280.0,1280,1280
1,0.16087,0.537826,54.0,54,54,1367.0,1367,1367
1,0.165,0.470417,38.0,38,38,1368.0,1368,1368
1,0.166667,0.419167,284.0,284,284,2027.0,2027,2027
1,0.172727,0.599545,25.0,25,25,1137.0,1137,1137
1,0.1775,0.457083,75.0,75,75,1468.0,1468,1468
1,0.18,0.4575,333.0,333,333,2160.0,2160,2160
1,0.182222,0.577778,74.0,74,74,1376.0,1376,1376
1,0.186957,0.437826,61.0,61,61,1489.0,1489,1489
1,0.189091,0.506364,149.0,149,149,1597.0,1597,1597
1,0.19,0.4975,130.0,130,130,3162.0,3162,3162
1,0.19,0.5225,217.0,217,217,2081.0,2081,2081
1,0.195,0.6875,15.0,15,15,416.0,416,416
1,0.196364,0.437273,120.0,120,120,1229.0,1229,1229
1,0.196522,0.651739,123.0,123,123,975.0,975,975
1,0.198333,0.318333,123.0,123,123,1562.0,1562,1562
1,0.2,0.590435,108.0,108,108,1454.0,1454,1454
1,0.204348,0.518261,88.0,88,88,1518.0,1518,1518
1,0.216522,0.722174,140.0,140,140,956.0,956,956
1,0.220833,0.49,377.0,377,377,2366.0,2366,2366
1,0.220833,0.537917,64.0,64,64,1466.0,1466,1466
1,0.221739,0.423043,139.0,139,139,1778.0,1778,1778
1,0.2225,0.41125,94.0,94,94,3328.0,3328,3328
1,0.2225,0.544167,288.0,288,288,1184.0,1184,1184
1,0.226957,0.436957,82.0,82,82,1518.0,1518,1518
1,0.231667,0.48375,251.0,251,251,953.0,953,953
1,0.238333,0.58625,220.0,220,220,2211.0,2211,2211
1,0.238333,0.670833,143.0,143,143,3167.0,3167,3167
1,0.243333,0.50625,203.0,203,203,3130.0,3130,3130
1,0.245833,0.468333,309.0,309,309,2115.0,2115,2115
1,0.245833,0.515417,408.0,408,408,1379.0,1379,1379
1,0.248333,0.574167,254.0,254,254,2169.0,2169,2169
1,0.255833,0.483333,364.0,364,364,1432.0,1432,1432
1,0.255833,0.50875,340.0,340,340,5035.0,5035,5035
1,0.258333,0.456667,221.0,221,221,3735.0,3735,3735
1,0.261739,0.551304,244.0,244,244,1628.0,1628,1628
1,0.264167,0.495,300.0,300,300,1910.0,1910,1910
1,0.264348,0.302174,222.0,222,222,1806.0,1806,1806
1,0.265,0.562083,163.0,163,163,3667.0,3667,3667
1,0.265833,0.394167,981.0,981,981,1515.0,1515,1515
1,0.265833,0.44125,205.0,205,205,1544.0,1544,1544
1,0.265833,0.524167,140.0,140,140,3132.0,3132,3132
1,0.265833,0.58,150.0,150,150,3172.0,3172,3172
1,0.266087,0.314348,140.0,140,140,1675.0,1675,1675
1,0.266667,0.535,137.0,137,137,1714.0,1714,1714
1,0.269167,0.400833,126.0,126,126,3498.0,3498,3498
1,0.271667,0.738333,120.0,120,120,1592.0,1592,1592
1,0.273043,0.381304,244.0,244,244,1707.0,1707,1707
1,0.274167,0.41,245.0,245,245,3147.0,3147,3147
1,0.274167,0.5075,174.0,174,174,3040.0,3040,3040
1,0.274783,0.681304,303.0,303,303,451.0,451,451
1,0.275,0.5075,502.0,502,502,2688.0,2688,2688
